Company,Education,Position,Published,Salary,WorkYear,positionLables
凡普金科,本科,测试工程师,10:59发布,20k-35k,3-5年,高级;自动化
琥珀天气,本科,测试工程师,10:59发布,10k-20k,1-3年,自动化
海马玩,本科,测试工程师,10:58发布,15k-20k,3-5年,功能测试;Java;自动化
游族网络,不限,资深软件测试工程师,10:57发布,10k-15k,1-3年,
Symbio-Freeborders,本科,功能测试工程师(财务方面),10:57发布,10k-13k,3-5年,高级;软件开发;税务;ERP
宜信,本科,测试开发工程师,10:57发布,15k-30k,3-5年,后端开发;Java;自动化测试
爱迅,本科,软件测试助理,10:56发布,5k-7k,1年以下,初级;Java;系统分析
利民网,大专,高级测试工程师,10:56发布,10k-18k,5-10年,脚本
阳光产险信保事业部,本科,APP客户端测试工程师,10:56发布,15k-30k,5-10年,金融;脚本;QA;自动化
祺曜互娱,大专,游戏测试,10:56发布,4k-8k,1-3年,游戏;脚本;自动化;数值
国美互联网,本科,测试工程师,10:56发布,10k-20k,5-10年,脚本;自动化
赐麓网络,大专,游戏测试师,10:55发布,5k-10k,1-3年,高级;中级;初级;功能测试;游戏策划
微创,本科,中级开发测试工程师（赴思科）,10:55发布,10k-15k,3-5年,自动化;系统;性能测试;回归测试;脚本
陌陌,本科,测试工程师（视频）,10:54发布,10k-15k,1-3年,视频
盈视讯,大专,软件测试助理-黑盒测试,10:54发布,3k-5k,不限,Java
海马玩,本科,高级测试工程师,10:58发布,15k-20k,3-5年,自动化;白盒;Java
游族网络,不限,资深大数据测试工程师,10:57发布,15k-25k,1-3年,
阳光产险信保事业部,本科,测试工程师,10:56发布,10k-20k,3-5年,金融;信息安全;电商;大数据;Java
陌陌,本科,测试工程师,10:54发布,15k-25k,1-3年,自动化测试;功能测试;python;易用性测试
盈视讯,大专,软件测试员-黑盒测试,10:54发布,4k-6k,1-3年,Java
东吴在线,本科,Senior QA Engineer,10:54发布,20k-25k,5-10年,金融;测试;白盒;系统;python
美菜网,本科,测试开发(总部--Z),10:53发布,18k-36k,3-5年,电商
四达时代集团,本科,CDN高级测试工程师,10:52发布,20k-35k,5-10年,资深;自动化;Java;python
瑞卡连锁租车集团,本科,测试工程师,10:52发布,6k-9k,1-3年,web;功能测试
恒生电子,本科,项目测试工程师-北京（云融）,10:52发布,10k-16k,3-5年,金融;自动化
前海易物,大专,软件测试工程师,10:52发布,4k-8k,1-3年,中级;初级;自动化;功能测试;性能测试
江苏亿科达,本科,app测试,10:52发布,10k-15k,3-5年,金融;脚本;移动端;自动化
思源科技,本科,测试开发工程师J10806,10:52发布,15k-30k,3-5年,Java;自动化
租租车,本科,测试工程师,10:51发布,8k-15k,3-5年,高级;自动化;功能测试;性能测试;QA
Video++,本科,自动化测试工程师（V81006）,10:51发布,15k-25k,3-5年,游戏;文化娱乐;脚本
海马玩,本科,自动化测试,10:58发布,15k-20k,3-5年,Java;脚本
游族网络,不限,测试工程师,10:57发布,8k-12k,1-3年,PHP
陌陌,本科,测试工程师,10:54发布,10k-20k,1-3年,视频;直播;功能测试;自动化;python
美菜网,本科,高级测试开发工程师,10:53发布,15k-25k,3-5年,资深;自动化;性能测试;脚本
四达时代集团,本科,中级测试工程师,10:52发布,10k-18k,3-5年,视频;移动互联网;Java;Python;脚本
恒生电子,本科,项目测试工程师-杭州（云融）,10:52发布,10k-16k,3-5年,金融;自动化
前海易物,大专,高级测试工程师,10:52发布,8k-14k,3-5年,电商;脚本;自动化
江苏亿科达,本科,大数据测试工程师,10:52发布,10k-20k,3-5年,金融;Java;量化
思源科技,本科,高级功能测试工程师J10480,10:52发布,15k-25k,3-5年,Java
租租车,本科,高级测试经理,10:51发布,16k-25k,5-10年,旅游;电商;资深;自动化
Video++,大专,测试工程师（V7505）,10:51发布,14k-25k,3-5年,游戏;文化娱乐;黑盒;功能测试;自动化
小睿,本科,高级测试工程师,10:50发布,10k-15k,3-5年,智能硬件;app;功能测试;性能测试;嵌入式
玖融网,不限,高级测试工程师,10:50发布,8k-16k,3-5年,资深;自动化;功能测试;性能测试;压力测试
码隆科技,本科,测试工程师,10:50发布,8k-16k,3-5年,中级
飞享数据,大专,测试开发工程师,10:49发布,8k-15k,1-3年,自动化;脚本;python
海马玩,本科,高级测试经理,10:58发布,30k-40k,5-10年,云计算;信息安全;资深;自动化
游族网络,不限,测试开发工程师,10:57发布,8k-12k,1-3年,
陌陌,本科,测试工程师（视频直播）,10:54发布,10k-15k,1-3年,视频
美菜网,本科,高级测试工程师-Z（总部）,10:53发布,15k-30k,3-5年,电商
四达时代集团,本科,测试工程师（中\高级）,10:52发布,13k-22k,3-5年,移动互联网;中级;Java;脚本
恒生电子,本科,产品测试工程师-杭州（云融）,10:52发布,10k-16k,3-5年,金融;自动化
前海易物,大专,测试工程师,10:52发布,4k-8k,1-3年,Java;脚本;自动化
江苏亿科达,大专,软件测试工程师,10:52发布,10k-15k,3-5年,金融;支付;电商;linux;脚本
租租车,本科,高级测试工程师（主管）,10:51发布,14k-25k,3-5年,信息安全;旅游;电商;脚本;自动化
小睿,本科,测试工程师,10:50发布,10k-12k,3-5年,智能硬件;web;app;功能测试;性能测试
玖融网,本科,测试经理,10:50发布,10k-20k,5-10年,资深;高级;自动化;性能测试;压力测试
酷划在线,本科,测试开发工程师,10:49发布,15k-28k,3-5年,高级;中级;自动化;白盒;脚本
海风教育,不限,测试工程师,10:49发布,6k-10k,1-3年,
凯撒文化,本科,测试开发工程师,10:48发布,10k-18k,3-5年,信息安全;游戏;自动化;功能测试;脚本
禅游,大专,游戏测试,10:48发布,6k-8k,1-3年,游戏;脚本;游戏策划
